Year,f_rank,Team,Record,f,off_f,off_f_rnk,def_f,def_f_rnk,st_f,st_f_rnk,s_p,s_p_rnk,fei,fei_rnk
2013,1,Florida State,14-0,49.2,21.5,3,25.7,1,2.0,27,310.3,1,0.319,1
2013,2,Alabama,11-2,42.3,17.8,10,19.3,7,5.2,1,270.9,2,0.289,3
2013,3,Stanford,11-3,40.0,13.3,18,21.6,4,5.1,2,257.7,4,0.311,2
2013,4,Auburn,12-2,35.1,19.5,7,12.3,18,3.3,7,251.7,7,0.271,4
2013,5,Oregon,11-2,33.3,20.0,6,11.2,22,2.1,26,251.4,10,0.254,7
2013,6,Michigan State,13-1,32.1,4.8,43,25.3,2,2.0,29,251.4,8,0.252,8
2013,7,Baylor,11-2,30.4,20.5,4,10.7,25,-0.9,88,262.4,3,0.235,11
2013,8,Oklahoma State,10-3,30.0,10.2,26,20.4,6,-0.7,85,243.4,15,0.245,9
2013,9,Ohio State,12-2,29.9,22.1,2,3.9,45,3.9,5,251,11,0.216,13
2013,10,South Carolina,11-2,29.8,20.2,5,12.9,16,-3.3,114,248.8,12,0.257,6
2013,11,USC,10-4,29.0,6.5,37,21.5,5,1.0,46,245.9,13,0.184,20
2013,12,Louisville,12-1,29.0,11.8,23,15.1,10,2.0,28,257.3,5,0.181,21
2013,13,Arizona State,10-4,28.5,17.7,11,10.4,26,0.3,60,242.7,16,0.239,10
2013,14,Missouri,12-2,28.5,13.3,17,15.1,11,0.1,65,245.4,14,0.263,5
2013,15,UCLA,10-3,27.8,14.4,15,10.9,23,2.5,18,236.3,22,0.229,12
2013,16,Clemson,11-2,26.6,13.0,19,14.0,13,-0.4,78,256.7,6,0.17,22
2013,17,LSU,10-3,26.4,18.0,9,5.6,36,2.9,10,238.5,19,0.213,15
2013,18,Washington,9-4,26.3,12.1,22,11.8,21,2.4,19,235.9,23,0.202,16
2013,19,Wisconsin,9-4,26.2,9.5,28,15.8,9,0.9,50,251.4,9,0.186,19
2013,20,Oklahoma,11-2,24.7,12.2,21,10.9,24,1.6,37,232.7,24,0.215,14
2013,21,Central Florida,12-1,23.8,16.4,13,5.2,38,2.2,23,237.7,20,0.193,17
2013,22,Georgia,8-5,22.3,18.7,8,3.5,46,0.1,66,241.4,17,0.192,18
2013,23,Texas A&M,9-4,21.2,24.0,1,-5.1,86,2.3,21,239.5,18,0.162,24
2013,24,Kansas State,8-5,20.5,14.4,14,4.4,43,1.8,33,227.3,31,0.16,25
2013,25,Arizona,8-5,18.1,10.4,25,10.4,27,-2.7,106,224.6,33,0.154,26
2013,26,Notre Dame,9-4,17.5,11.6,24,6.4,33,-0.5,82,222.8,34,0.163,23
