Tm,Yr,1D,2sh,2mid,2lng,2D,3sh,3mid,3lng,3D,all
WAS,2013,-0.194,0.095,-0.099,0.05,0.01,-0.059,-0.124,-0.07,-0.088,-0.1
TEN,2013,0,-0.193,0.073,-0.327,-0.166,0.214,0.05,0.773,0.3,0.014
TB,2013,-0.005,-0.334,-0.137,0.022,-0.081,-0.136,-0.318,-0.538,-0.331,-0.104
STL,2013,-0.106,0.138,-0.172,-0.198,-0.13,-0.353,0.103,0.202,-0.027,-0.095
SF,2013,0.155,-0.143,-0.17,-0.065,-0.111,0.001,0.142,0.775,0.284,0.091
SEA,2013,0.108,0.028,-0.052,0.367,0.162,-0.037,0.177,-0.394,-0.039,0.094
SD,2013,0.177,0.029,0.088,0.292,0.16,0.22,0.411,1.06,0.462,0.231
PIT,2013,0.058,0.182,-0.212,0.242,0.075,0.094,-0.443,0.445,-0.035,0.044
PHI,2013,0.235,0.154,0.314,0.36,0.307,0.029,0.094,0.182,0.091,0.229
OAK,2013,-0.026,-0.143,-0.234,-0.352,-0.282,-0.285,0.26,-1.03,-0.257,-0.167
NYJ,2013,-0.271,0.11,-0.182,-0.207,-0.142,0.143,-0.27,0.426,0.064,-0.153
NYG,2013,-0.25,-0.13,0.25,-0.626,-0.241,0.296,-0.118,-0.474,-0.115,-0.22
NO,2013,0.193,-0.283,0.039,0.346,0.107,-0.057,0.717,-0.169,0.177,0.16
NE,2013,0.296,0.27,0.081,0.199,0.164,-0.196,-0.219,0.213,-0.117,0.164
MIN,2013,-0.043,-0.772,0.287,-0.189,-0.11,-0.206,-0.009,0.384,0.041,-0.047
MIA,2013,-0.011,-0.223,0.147,0.191,0.108,-0.044,-0.247,-0.572,-0.245,-0.018
KC,2013,0.141,0.184,-0.05,-0.216,-0.09,0.044,-0.065,-0.003,-0.018,0.03
JAC,2013,-0.281,-0.128,-0.457,-0.212,-0.282,-0.021,-0.875,-0.072,-0.349,-0.298
IND,2013,0.054,0.11,0.032,0.047,0.054,0.102,-0.113,0.033,0.005,0.043
HOU,2013,-0.21,-0.076,-0.187,-0.084,-0.114,0.017,-0.004,-1.076,-0.262,-0.189
GB,2013,-0.043,0.202,0.12,0.356,0.24,0.092,0.187,-0.08,0.091,0.086
DET,2013,-0.068,-0.018,-0.139,0.072,-0.015,0.045,0.03,0.173,0.075,-0.019
DEN,2013,0.238,0.383,0.122,0.549,0.37,0.236,0.701,0.611,0.511,0.335
DAL,2013,0.134,-0.038,0.335,0.068,0.155,-0.052,-0.228,-0.393,-0.217,0.075
CLE,2013,-0.154,0.003,-0.135,-0.25,-0.161,-0.045,0.02,-0.355,-0.104,-0.144
CIN,2013,-0.091,0.189,0.263,0.044,0.145,-0.001,-0.24,0.166,-0.045,0.004
CHI,2013,0.047,0.307,0.191,0.033,0.135,-0.123,0.382,0.79,0.316,0.133
CAR,2013,0.088,-0.08,0.13,-0.046,-0.007,0.196,-0.082,0.569,0.192,0.079
BUF,2013,-0.05,-0.135,-0.368,0.015,-0.131,-0.026,-0.29,-0.387,-0.206,-0.115
BAL,2013,-0.156,-0.127,-0.282,-0.346,-0.281,-0.134,-0.009,-0.604,-0.229,-0.217
ATL,2013,-0.075,-0.257,0.143,0.008,0.008,0.03,0.553,0.222,0.275,0.032
ARI,2013,-0.001,0.182,-0.148,0.106,0.02,-0.113,-0.21,-0.062,-0.143,-0.024
WAS,2012,0.195,-0.008,0.204,-0.013,0.069,0.199,0.334,0.023,0.195,0.153
TEN,2012,-0.226,-0.119,-0.211,-0.279,-0.233,0.053,-0.002,-0.473,-0.123,-0.205
TB,2012,0.035,-0.185,-0.064,0.071,-0.017,0.066,-0.183,0.062,-0.017,0.006
STL,2012,0.041,-0.202,0.01,0.076,0.008,-0.234,-0.433,-0.166,-0.288,-0.047
SF,2012,0.317,0.145,0.005,0.166,0.1,-0.289,-0.239,0.615,-0.037,0.17
SEA,2012,0.201,0.044,0.05,0.246,0.135,-0.046,0.403,0.402,0.24,0.185
SD,2012,-0.022,0.012,-0.226,-0.23,-0.188,0.164,-0.333,-0.134,-0.112,-0.101
PIT,2012,-0.082,0.053,-0.194,-0.131,-0.133,0.122,0.157,0.326,0.184,-0.038
PHI,2012,-0.108,-0.209,-0.212,-0.275,-0.241,0.058,0.602,-0.339,0.119,-0.108
OAK,2012,-0.174,-0.264,-0.128,0.015,-0.075,0.033,-0.156,0.264,0.031,-0.096
NYJ,2012,-0.131,0.019,-0.242,-0.327,-0.241,-0.129,-0.291,-0.556,-0.291,-0.206
NYG,2012,0.062,0.095,0.301,0.255,0.231,0.239,-0.216,0.275,0.101,0.129
NO,2012,0.144,-0.006,0.04,0.18,0.09,0.025,0.203,0.108,0.118,0.119
NE,2012,0.248,0.094,0.094,0.444,0.247,0.418,0.679,0.624,0.552,0.308
MIN,2012,-0.093,-0.15,0.22,0.143,0.123,0.004,0.098,-0.148,0.002,0.003
MIA,2012,-0.029,0.223,-0.114,-0.217,-0.096,-0.104,-0.081,-0.382,-0.168,-0.084
KC,2012,-0.17,0.057,-0.286,-0.441,-0.31,-0.28,-0.297,-0.39,-0.316,-0.251
JAC,2012,-0.108,0.127,-0.301,-0.219,-0.18,-0.356,-0.437,-0.088,-0.323,-0.183
IND,2012,-0.149,-0.232,-0.034,0.111,-0.005,0.157,-0.216,0.866,0.188,-0.029
HOU,2012,-0.01,0.376,0.035,-0.019,0.086,-0.025,0.028,-0.5,-0.123,0.001
GB,2012,0.052,0.155,0.112,0.426,0.264,0.117,0.564,0.468,0.364,0.195
DET,2012,0.053,-0.228,0.312,0.228,0.179,0.203,-0.127,0.529,0.179,0.123
DEN,2012,0.193,0.261,0.247,0.179,0.222,0.136,0.335,0.52,0.28,0.221
DAL,2012,0.087,0.154,0.228,-0.256,0.021,0.165,0.35,-0.509,0.079,0.061
CLE,2012,-0.05,-0.257,-0.081,-0.277,-0.208,-0.158,-0.327,-0.308,-0.256,-0.151
CIN,2012,-0.035,0.125,0.12,-0.036,0.049,0.076,-0.151,-0.35,-0.091,-0.018
CHI,2012,-0.116,-0.008,-0.224,0.05,-0.039,-0.476,0.061,-0.259,-0.201,-0.109
CAR,2012,0.144,0.001,-0.523,0.22,-0.063,0.103,0.168,0.135,0.134,0.071
BUF,2012,-0.162,0.18,0.19,-0.191,0.006,0.199,0.204,-0.006,0.139,-0.043
BAL,2012,0.021,-0.078,0.198,0.032,0.074,-0.245,-0.194,0.584,-0.02,0.03
ATL,2012,0.019,-0.111,0.207,0.226,0.148,-0.167,-0.024,0.246,0.001,0.061
ARI,2012,-0.277,-0.303,-0.148,-0.229,-0.217,-0.171,-0.651,-0.676,-0.511,-0.31
WAS,2011,0.097,-0.029,-0.162,-0.231,-0.167,-0.284,-0.274,-0.193,-0.254,-0.07
TEN,2011,-0.025,0.118,-0.26,-0.158,-0.145,0.352,-0.05,0.651,0.295,0.006
TB,2011,-0.151,0.198,-0.031,-0.213,-0.06,-0.387,0.133,-0.201,-0.131,-0.115
STL,2011,-0.249,-0.421,-0.29,-0.015,-0.156,-0.41,-0.388,-0.644,-0.471,-0.272
SF,2011,0.105,0.039,-0.149,-0.156,-0.114,-0.136,-0.13,-0.355,-0.197,-0.039
SEA,2011,-0.068,0.068,0.071,-0.056,0.004,0.075,-0.581,-0.168,-0.255,-0.087
SD,2011,0.056,-0.557,-0.048,0.305,0.033,0.592,0.041,0.765,0.45,0.13
PIT,2011,-0.02,0.014,0.295,0.201,0.207,-0.098,0.597,0.187,0.25,0.114
PHI,2011,0.1,0.599,-0.061,0.099,0.158,0.059,-0.592,0.672,-0.011,0.098
OAK,2011,0.1,0.19,-0.126,-0.092,-0.047,-0.018,0.033,-0.078,-0.015,0.026
NYJ,2011,-0.129,0.003,0.035,-0.092,-0.027,0.146,-0.243,-0.096,-0.084,-0.083
NYG,2011,0.032,-0.249,0.306,0.095,0.105,0.061,0.511,0.149,0.263,0.105
NO,2011,0.248,0.302,0.178,0.335,0.271,-0.015,0.958,1.108,0.609,0.33
NE,2011,0.285,0.291,0.39,0.355,0.349,0.293,0.421,0.316,0.341,0.319
MIN,2011,-0.27,-0.055,0.129,0.071,0.07,0.088,-0.338,0.185,-0.028,-0.102
MIA,2011,-0.11,-0.38,-0.053,0.124,0.003,-0.135,-0.274,0.153,-0.124,-0.075
KC,2011,-0.207,-0.127,-0.038,-0.259,-0.161,0.023,-0.541,-0.146,-0.216,-0.193
JAC,2011,-0.184,-0.281,-0.359,-0.324,-0.331,-0.266,-0.042,-0.722,-0.306,-0.265
IND,2011,-0.136,0.102,-0.145,-0.127,-0.083,0.151,-0.86,-0.033,-0.364,-0.172
HOU,2011,0.162,-0.118,0.12,-0.043,-0.004,0.278,0.546,-0.851,0.072,0.084
