Team,f_3yr_avg,off_f_3yr_avg,def_f_3yr_avg,st_f_3yr_avg,s_p_3yr_avg,fei_3yr_avg,f_yr3,off_f_yr3,def_f_yr3,st_f_yr3,s_p_yr3,fei_yr3,f2013,rnk_2012,rnk_2013,act_2013
Florida State,0.242333333,0.074333333,0.141,0.026666667,247.5,0.185666667,0.295,0.084,0.195,0.016,263.4,0.195,0.229518527,5,6,1
Alabama,0.473333333,0.190666667,0.268333333,0.014,306.0666667,0.303666667,0.506,0.211,0.278,0.017,312.3,0.324,0.411732178,1,1,2
Stanford,0.291,0.135,0.143333333,0.012333333,251.5666667,0.25,0.256,0.06,0.171,0.025,238,0.234,0.248462715,11,4,3
Auburn,0.055333333,0.055666667,-0.02,0.019333333,215.2,0.048333333,-0.186,-0.115,-0.09,0.019,184.7,-0.192,-0.035872113,104,72,4
Oregon,0.328666667,0.140666667,0.173333333,0.015,261.3333333,0.272666667,0.383,0.159,0.203,0.022,270.5,0.319,0.312135859,2,2,5
Michigan State,0.197666667,0.035333333,0.150333333,0.012,238.9333333,0.137,0.207,-0.007,0.208,0.006,241.3,0.142,0.153912626,15,17,6
Baylor,0.074333333,0.165666667,-0.068333333,-0.023333333,219.8,0.078333333,0.125,0.196,-0.051,-0.02,221.8,0.172,0.103659212,30,27,7
Oklahoma State,0.293333333,0.138333333,0.129,0.026333333,251.2666667,0.226666667,0.253,0.128,0.1,0.025,241.3,0.185,0.208010361,12,9,8
Ohio State,0.220666667,0.077666667,0.137,0.006,241.1,0.179666667,0.229,0.124,0.113,-0.007,234.3,0.216,0.156716084,14,16,9
South Carolina,0.204666667,0.082333333,0.138,-0.015666667,240.0333333,0.192666667,0.237,0.072,0.173,-0.008,242.2,0.215,0.203640196,13,12,10
USC,0.155,0.088333333,0.048,0.018333333,228,0.146333333,0.142,0.064,0.06,0.018,227.2,0.122,0.142767389,27,20,11
Louisville,0.082333333,0.056666667,0.025666667,0.000333333,211,0.113,0.137,0.138,0.029,-0.03,219.2,0.126,0.076501288,28,36,12
Arizona State,0.069,0.032333333,0.033666667,0.003333333,216.5,0.078666667,0.09,0.027,0.065,-0.001,221.3,0.09,0.087314898,41,30,13
Missouri,0.128333333,0.04,0.077333333,0.010666667,224.5,0.117333333,0.007,-0.057,0.044,0.019,208.8,0.012,0.067126519,58,39,14
UCLA,-0.026333333,-0.002666667,-0.023,-0.000333333,203.2333333,-0.023666667,0.112,0.052,0.063,-0.003,217.3,0.116,0.053876834,35,43,15
Clemson,0.141333333,0.082,0.045333333,0.014333333,222.2333333,0.118666667,0.184,0.144,0.022,0.018,235.9,0.135,0.113022931,22,25,16
LSU,0.312333333,0.091333333,0.190666667,0.031,258.9333333,0.254666667,0.259,0.05,0.182,0.028,246,0.199,0.248625942,10,3,17
Washington,-0.011333333,0.022666667,-0.030666667,-0.003,204.1333333,-0.000333333,0.018,-0.013,0.048,-0.017,206.2,0.029,0.022713107,56,55,18
Wisconsin,0.247666667,0.163666667,0.076,0.007666667,245.7333333,0.209666667,0.204,0.074,0.133,-0.003,237.3,0.183,0.204047646,16,11,19
Oklahoma,0.277,0.127,0.137,0.013,249.6333333,0.238,0.27,0.15,0.106,0.014,246.3,0.243,0.223955265,8,8,20
Central Florida,0.077,0.019333333,0.041333333,0.016,218.8666667,0.059333333,0.106,0.042,0.042,0.022,219.4,0.093,0.083398224,36,33,21
Georgia,0.211666667,0.097,0.106,0.008666667,244.3666667,0.158333333,0.291,0.161,0.126,0.004,254.6,0.227,0.205548253,6,10,22
Texas A&M,0.249666667,0.132666667,0.117666667,-0.000666667,247.2666667,0.195,0.351,0.231,0.13,-0.01,263.6,0.295,0.224520362,3,7,23
Kansas State,0.132666667,0.061,0.042666667,0.028666667,213.2333333,0.162666667,0.269,0.094,0.129,0.046,232.5,0.279,0.203158694,9,13,24
Arizona,0.03,0.084333333,-0.034,-0.020333333,215.5,0.027,0.098,0.131,-0.019,-0.013,220.9,0.07,0.070477577,38,38,25
Notre Dame,0.232333333,0.093,0.132666667,0.006666667,246.7,0.175333333,0.274,0.139,0.146,-0.011,253.3,0.215,0.190173633,7,15,26
Virginia Tech,0.156333333,0.051,0.094,0.011666667,229.1666667,0.138,0.076,-0.032,0.108,0,216.3,0.048,0.099808297,43,29,27
Ole Miss,-0.023333333,-0.020333333,-0.003333333,0.000333333,203.8,-0.03,0.096,0.063,0.058,-0.025,229.2,0.068,0.016444936,39,58,28
Iowa,0.056666667,0.015333333,0.033333333,0.008333333,209.1,0.077666667,-0.06,-0.065,-0.009,0.015,188.8,-0.013,0.007246442,72,61,29
BYU,0.083666667,-0.006333333,0.081,0.009333333,225.8,0.050666667,0.175,0.026,0.152,-0.002,244.5,0.125,0.117582421,23,24,30
Utah,0.03,-0.053333333,0.066666667,0.017333333,211.6333333,0.026666667,-0.038,-0.061,0.007,0.017,193.4,0.011,-0.007637774,66,66,31
Utah State,0.008,0.014,0.011333333,-0.017333333,213.1666667,-0.013666667,0.201,0.033,0.155,0.013,247.2,0.139,0.129098413,17,22,32
Mississippi State,0.050666667,-0.026,0.063333333,0.013333333,212.9333333,0.052333333,-0.001,-0.029,0.013,0.015,210.4,-0.012,0.020537517,62,57,33
Georgia Tech,0.037,0.075333333,-0.019,-0.019,213.9666667,0.041666667,0.061,0.086,0.001,-0.026,225.2,0.047,0.051089445,49,44,34
Texas,0.094666667,-0.01,0.093666667,0.011,217.6333333,0.083,0.156,0.095,0.045,0.016,220.6,0.173,0.078209645,24,35,35
Miami,0.086666667,0.073666667,0.001,0.012,216.7,0.089333333,-0.013,0.04,-0.075,0.022,205.7,0.004,0.038318214,65,50,36
Michigan,0.162333333,0.134666667,0.034,-0.006,232.7333333,0.113333333,0.193,0.102,0.086,0.006,237.7,0.133,0.147245258,20,18,37
North Carolina,0.065666667,0.05,0.027666667,-0.012,211.2333333,0.072666667,0.068,0.094,-0.035,0.009,211.2,0.053,0.042900104,46,47,38
Nebraska,0.177333333,0.078333333,0.089333333,0.009666667,233.6666667,0.145333333,0.199,0.142,0.077,-0.02,240.6,0.147,0.125624666,19,23,39
East Carolina,-0.078,-0.001,-0.079,0.002,197.9333333,-0.106,-0.118,-0.034,-0.084,-0.001,194.9,-0.16,-0.091343171,90,90,40
Duke,-0.080666667,0.001666667,-0.099,0.017,189.2666667,-0.066666667,-0.083,0.03,-0.132,0.019,190.3,-0.1,-0.067924676,81,81,41
Oregon State,0.039666667,0.015,0.015666667,0.009,214.7666667,0.046,0.2,0.101,0.096,0.003,234.3,0.182,0.13313112,18,21,42
Texas Tech,-0.002,0.055666667,-0.053666667,-0.004,206.1,-0.006666667,0.069,0.079,-0.011,0.001,214.5,0.058,0.039574153,45,49,43
TCU,0.210666667,0.071666667,0.124333333,0.014666667,241.6666667,0.171333333,0.123,-0.026,0.146,0.003,222.1,0.142,0.145362251,31,19,44
Boise State,0.302333333,0.102333333,0.183,0.016333333,273.2,0.182333333,0.184,0.051,0.128,0.004,242,0.121,0.19328714,21,14,45
Houston,0.03,0.063,-0.022666667,-0.009666667,213.3666667,-0.000333333,-0.082,-0.051,-0.013,-0.017,199.1,-0.093,-0.032743605,80,68,46
Bowling Green,-0.117666667,-0.079,-0.036,-0.002666667,186.9666667,-0.097333333,-0.042,-0.071,0.046,-0.016,202.3,-0.041,-0.060864044,67,80,47
Florida,0.178333333,0.023666667,0.123,0.031333333,232.9,0.135,0.342,0.065,0.236,0.041,258.5,0.259,0.233621379,4,5,48
Fresno State,-0.025666667,0.001,-0.019666667,-0.007333333,211.7333333,-0.045333333,0.116,0.008,0.112,-0.005,242,0.043,0.082418244,34,34,49
Vanderbilt,-0.008333333,-0.043666667,0.025,0.010333333,201.0666667,-0.009,0.061,-0.025,0.052,0.034,209.4,0.065,0.02945391,50,54,50
North Texas,-0.19,-0.08,-0.103666667,-0.006666667,177.4,-0.145666667,-0.215,-0.078,-0.119,-0.019,172.9,-0.139,-0.156350118,112,109,51
Marshall,-0.119,-0.043333333,-0.056,-0.019666667,191.1666667,-0.117,-0.087,0.069,-0.133,-0.023,198.1,-0.106,-0.118366703,82,95,52
Washington State,-0.166666667,-0.059666667,-0.094333333,-0.012333333,179,-0.116333333,-0.166,-0.106,-0.039,-0.021,180,-0.134,-0.108528542,98,93,53
Pittsburgh,0.088333333,0.024,0.057333333,0.007333333,213.6333333,0.106333333,0.06,0.018,0.037,0.005,206.8,0.065,0.06354471,51,40,54
Minnesota,-0.110666667,-0.037333333,-0.060666667,-0.012333333,188.5,-0.089,-0.075,-0.064,-0.001,-0.01,191.8,-0.051,-0.059893066,79,79,55
Indiana,-0.127666667,0.005333333,-0.120666667,-0.012,181.8333333,-0.102666667,-0.065,0.049,-0.122,0.009,189,-0.036,-0.078227163,74,83,56
Ball State,-0.129,-0.039333333,-0.106666667,0.016333333,184.5,-0.118333333,-0.005,0.032,-0.074,0.036,204.7,-0.033,-0.033098539,64,69,57
Navy,-0.060666667,0.049666667,-0.097333333,-0.012666667,197.0333333,-0.023,-0.165,-0.059,-0.116,0.01,187.1,-0.153,-0.040554491,97,73,58
Northwestern,0.021333333,0.048,-0.043,0.016333333,201.1,0.046,0.129,0.058,0.034,0.037,215.1,0.143,0.100797912,29,28,59
Northern Illinois,0.086333333,0.080666667,-0.005333333,0.010666667,221.1333333,0.063333333,0.119,0.053,0.046,0.02,223.6,0.092,0.110808019,33,26,60
