Team,f_3yr_avg,off_f_3yr_avg,def_f_3yr_avg,st_f_3yr_avg,s_p_3yr_avg,fei_3yr_avg,f_yr3,off_f_yr3,def_f_yr3,st_f_yr3,s_p_yr3,fei_yr3,f2014,rnk_2013,rnk_2014,stDev,odds_0728
Alabama,0.489333333,0.187,0.280666667,0.021666667,305.4,0.306333333,0.423,0.178,0.193,0.052,270.9,0.289,0.364978454,2,1,3.006609201,650
Florida State,0.343,0.105666667,0.212,0.025,273.5,0.231333333,0.492,0.215,0.257,0.02,310.3,0.319,0.34514902,1,2,2.098867762,500
Stanford,0.313666667,0.121,0.167333333,0.025,249.5,0.253,0.4,0.133,0.216,0.051,257.7,0.311,0.293516981,3,3,1.916905925,6500
Oregon,0.351333333,0.175,0.159,0.017666667,262.1666667,0.268333333,0.333,0.2,0.112,0.021,251.4,0.254,0.255104532,5,4,2.150561466,750
Baylor,0.188,0.214,-0.008,-0.018666667,237.1666667,0.172666667,0.304,0.205,0.107,-0.009,262.4,0.235,0.251475891,7,5,1.137364871,3000
Wisconsin,0.253,0.143333333,0.104333333,0.005333333,248.1,0.201333333,0.262,0.095,0.158,0.009,251.4,0.186,0.227683745,19,6,1.540575761,3500
Michigan State,0.255333333,0.027333333,0.213333333,0.014666667,246,0.193666667,0.321,0.048,0.253,0.02,251.4,0.252,0.220117348,6,7,1.555049998,3500
Oklahoma State,0.310666667,0.134,0.162,0.014333333,250.3,0.247,0.3,0.102,0.204,-0.007,243.4,0.245,0.217236896,8,8,1.898296192,20000
Oklahoma,0.264666667,0.124666667,0.127,0.013,243.9666667,0.232666667,0.247,0.122,0.109,0.016,232.7,0.215,0.206356582,20,9,1.612946946,1400
LSU,0.330333333,0.13,0.172,0.029333333,260.6666667,0.243333333,0.264,0.18,0.056,0.029,238.5,0.213,0.203338128,17,10,2.020293333,2500
USC,0.223,0.09,0.118666667,0.014333333,237.6333333,0.166333333,0.29,0.065,0.215,0.01,245.9,0.184,0.199878896,12,11,1.354478427,2800
South Carolina,0.231,0.107333333,0.148666667,-0.025,242.1666667,0.216666667,0.298,0.202,0.129,-0.033,248.8,0.257,0.198554056,10,12,1.404104383,2500
Ohio State,0.207333333,0.11,0.082666667,0.014666667,234.1666667,0.173666667,0.299,0.221,0.039,0.039,251,0.216,0.197941019,9,13,1.257294264,1000
Louisville,0.16,0.088333333,0.071,0.000666667,225.7666667,0.139333333,0.29,0.118,0.151,0.02,257.3,0.181,0.197908802,11,14,0.963674027,30000
Missouri,0.145666667,0.053666667,0.083666667,0.008,225.8666667,0.141666667,0.285,0.133,0.151,0.001,245.4,0.263,0.186732264,13,15,0.874760856,11000
Texas A&M,0.257666667,0.193666667,0.057666667,0.006333333,248.1333333,0.209,0.212,0.24,-0.051,0.023,239.5,0.162,0.184606214,23,16,1.569524235,10000
Auburn,0.050666667,0.037666667,-0.016666667,0.029333333,212.6333333,0.022666667,0.351,0.195,0.123,0.033,251.7,0.271,0.183591129,4,17,0.285452632,850
Clemson,0.184,0.121333333,0.054666667,0.008333333,234.8333333,0.132,0.266,0.13,0.14,-0.004,256.7,0.17,0.178428121,16,18,1.112551894,8000
Arizona State,0.143666667,0.085666667,0.053333333,0.004666667,224.6666667,0.129666667,0.285,0.177,0.104,0.003,242.7,0.239,0.176386402,14,19,0.862354367,12000
Georgia,0.247333333,0.138666667,0.108666667,0,249.0666667,0.190333333,0.223,0.187,0.035,0.001,241.4,0.192,0.170996528,22,20,1.505424043,1300
UCLA,0.094,0.070333333,0.021333333,0.002666667,217.2,0.078666667,0.278,0.144,0.109,0.025,236.3,0.229,0.170444154,15,21,0.554259892,1400
Washington,0.086333333,0.060333333,0.019333333,0.007,213.9666667,0.068333333,0.263,0.121,0.118,0.024,235.9,0.202,0.151746326,18,22,0.506701685,8500
Central Florida,0.122,0.070333333,0.037,0.014333333,223.3666667,0.095666667,0.238,0.164,0.052,0.022,237.7,0.193,0.144912886,21,23,0.727950737,10000
Utah State,0.107666667,0.008333333,0.100666667,-0.001333333,228.8333333,0.072,0.137,-0.074,0.183,0.028,231.8,0.083,0.14175058,32,24,0.639037567,50000
Notre Dame,0.228,0.114333333,0.117333333,-0.003666667,241.6333333,0.183,0.175,0.116,0.064,-0.005,222.8,0.163,0.136050803,26,25,1.38549465,6500
Kansas State,0.198666667,0.089333333,0.083666667,0.025666667,222.1333333,0.200666667,0.205,0.144,0.044,0.018,227.3,0.16,0.132724153,24,26,1.203532812,10000
Virginia Tech,0.129,-0.014333333,0.145333333,-0.001666667,227.5,0.096,0.171,-0.059,0.233,-0.003,236.7,0.123,0.124591955,27,27,0.771373448,20000
