Team,Year,f_yr-1,f_yr-2,f_yr-3,f_yr-4,f_yr-5,yr1_f
Florida State,2013,0.295,0.242,0.19,0.09,0.14400000000000002,0.49200000000000005
Alabama,2013,0.506,0.539,0.375,0.41200000000000003,0.273,0.423
Stanford,2013,0.256,0.285,0.332,0.11900000000000001,-0.001,0.4
Auburn,2013,-0.18600000000000003,-0.013000000000000001,0.365,0.098,-0.025,0.35100000000000003
Oregon,2013,0.38299999999999995,0.33799999999999997,0.265,0.20199999999999999,0.16,0.33299999999999996
Michigan State,2013,0.207,0.23800000000000002,0.14800000000000002,0.054000000000000006,0.065,0.321
Baylor,2013,0.125,0.135,-0.037000000000000005,-0.129,-0.031,0.304
Oklahoma State,2013,0.253,0.379,0.248,0.11699999999999999,0.162,0.3
Ohio State,2013,0.22899999999999998,0.094,0.33899999999999997,0.278,0.251,0.299
South Carolina,2013,0.237,0.158,0.21899999999999997,0.09699999999999999,0.063,0.298
USC,2013,0.142,0.237,0.086,0.134,0.47600000000000003,0.29
Louisville,2013,0.13699999999999998,0.053,0.057,-0.14400000000000002,-0.11599999999999999,0.29
Arizona State,2013,0.09,0.055999999999999994,0.061,0.011000000000000001,-0.040999999999999995,0.285
Missouri,2013,0.006999999999999999,0.145,0.233,0.032,0.19699999999999998,0.285
UCLA,2013,0.11199999999999999,-0.10800000000000001,-0.083,0.008,-0.109,0.278
Clemson,2013,0.184,0.102,0.138,0.20199999999999999,0.139,0.266
LSU,2013,0.259,0.46799999999999997,0.21,0.13699999999999998,0.139,0.264
Washington,2013,0.018000000000000002,-0.022000000000000002,-0.03,-0.021,-0.284,0.263
Wisconsin,2013,0.204,0.293,0.24600000000000002,0.2,0.037000000000000005,0.262
Oklahoma,2013,0.27,0.27699999999999997,0.284,0.273,0.354,0.247
Central Florida,2013,0.106,0.022000000000000002,0.10300000000000001,-0.055999999999999994,-0.111,0.23800000000000002
Georgia,2013,0.29100000000000004,0.228,0.11599999999999999,0.098,0.155,0.223
Texas A&M,2013,0.35100000000000003,0.21,0.188,0.051,-0.184,0.212
Kansas State,2013,0.26899999999999996,0.122,0.006999999999999999,-0.065,-0.102,0.205
Arizona,2013,0.098,-0.08199999999999999,0.07400000000000001,0.11699999999999999,0.14300000000000002,0.18100000000000002
Notre Dame,2013,0.27399999999999997,0.235,0.188,0.15,0.037000000000000005,0.175
Virginia Tech,2013,0.076,0.14,0.253,0.315,0.105,0.171
